"Enabled","Enabled"
"New order status","New order status"
"Title","Title"
"Seller ID","Seller ID"
"Secret Key","Secret Key"
"Payment due date","Payment due date"
"Communication Url","Communication Url"
"Communication Encoding","Communication Encoding"
"Sandbox Mode?","Sandbox Mode?"
"eMaksut","eMaksut"
"Key Version","Key Version"
"Maksuturva Payment Module","Maksuturva Payment Module"
"Waiting for delayed payment confirmation from Maksuturva","Waiting for delayed payment confirmation from Maksuturva"
"Order cancelled because of error on Maksuturva return","Order cancelled because of error on Maksuturva return"
"Unknown error on maksuturva payment module.","Unknown error on maksuturva payment module."
"Value returned from Maksuturva does not match:","Value returned from Maksuturva does not match:"
"Gateway returned and empty field","Gateway returned and empty field"
"Invalid hash returned","Invalid hash returned"
"Maksuturva returned an error on your payment.","Maksutapahtumassa tapahtui virhe."
"You have cancelled your payment on Maksuturva.","Maksutapahtuma peruutettu."
"Payment canceled on Maksuturva","Maksutapahtuma peruutettu."
"Payment canceled by Maksuturva","Maksutapahtuma peruutettu."
"Payment confirmed by Maksuturva","Payment confirmed by Maksuturva"
"Yes","Kyllä"
"No","Ei"
"Enable","Enable"
"Disable","Disable"
"No change, still awaiting payment","Ei muutosta, odotetaan yhä suoritusta"
"Payment identified by Maksuturva","Payment identified by Maksuturva"
"Invalid hash or network error","Invalid hash or network error"
"You will be redirected to the Maksuturva website in a few seconds.","Sinut ohjataan Maksuturvan sivulle hetken kuluttua..."
"Shipping","Toimituskulut"
"Payment fee","Laskutuslisä"
"Verify Payment","Hae maksun tila"
"Unable cancel order that is already paid.","Tilausta ei voitu perua koska se on jo maksettu."
"Choose payment method...","Valitse maksutapa..."
"Your order is already authorized.","Tilauksesi on jo hyväksytty."
"Your order is already paid.","Tilauksesi on jo maksettu."
"Your order is not valid.","Tilaustasi ei ole olemassa."
"Send refund money to<br/><br/>Name: %s<br/>IBAN: %s<br/>Reference: %s<br/>Amount: %s<br/><br/>Maksuturva will refund the payer after receiving money.","Lähetä palautettava raha seuraavalle tilille<br/><br/>Nimi: %s<br/>IBAN: %s<br/>Viite: %s<br/>Määrä: %s<br/><br/>Maksuturva hyvittää maksajalle saatuaan rahat."
"Payment method discounts","Maksutapa-alennukset"